ZipCode,AssessTot,LandUse
10001,5937750,5
10001,5897700,6
10001,5896800,5
10001,5895900,5
10001,5799767,5
10001,5773050,3
10001,5751900,3
10001,5743350,5
10001,5735700,5
10001,5727600,5
10001,5724900,5
10001,5677200,4
10001,5673150,3
10001,5655150,5
10001,5604750,5
10001,5595750,4
10001,5561100,3
10001,5553000,6
10001,5550300,5
10001,5546700,8
10001,5520150,3
10001,5510700,5
10001,5499000,7
10001,5430150,6
10001,5405397,4
10001,5370750,3
10001,5357250,5
10001,5342849,3
10001,5330250,4
10001,5310000,3
10001,5292450,5
10001,5238900,5
10001,5223150,3
10001,5196150,6
10001,5181300,5
10001,5116052,4
10001,5113800,5
10001,5097600,5
10001,5064300,6
10001,5040450,3
10001,5033250,4
10001,5028300,8
10001,5008500,5
10001,4986450,5
10001,4960800,5
10001,4918500,5
10001,4914450,5
10001,4877100,6
10001,4718250,6
10001,4679550,5
10001,4673700,5
10001,4669650,5
10001,4667850,5
10001,4662450,10
10001,4657950,5
10001,4648050,4
10001,4537350,11
10001,4520700,5
10001,4476150,4
10001,4427550,3
10001,4409550,6
10001,4389507,5
10001,4375350,5
10001,4366800,8
10001,4330350,5
10001,4308300,6
10001,4302000,8
10001,4295247,5
10001,4292100,6
10001,4283100,5
10001,4203900,4
10001,4203900,4
10001,4189950,3
10001,4180500,4
10001,4165650,4
10001,4165200,9
10001,4108950,6
10001,4100400,4
10001,4095000,5
10001,4054050,4
10001,4045500,5
10001,4021200,4
10001,4016701,4
10001,4015350,5
10001,3968100,5
10001,3951450,3
10001,3944250,6
10001,3924450,4
10001,3920850,8
10001,3919950,9
10001,3900600,5
10001,3842550,6
10001,3829050,6
10001,3795300,6
10001,3795300,5
10001,3746700,5
10001,3745350,6
10001,3742200,5
10001,3732750,4
10001,3732750,4
10001,3715200,4
10001,3709800,11
10001,3685050,5
10001,3662550,3
10001,3640500,5
10001,3623400,7
10001,3586050,6
10001,3579750,5
10001,3568950,5
10001,3564450,6
10001,3560850,5
10001,3553200,10
10001,3546000,5
10001,3537450,3
10001,3519900,5
10001,3514500,6
10001,3502800,5
10001,3500550,8
10001,3451500,5
10001,3394350,4
10001,3376350,3
10001,3371850,5
10001,3369600,5
10001,3364650,10
10001,3359700,4
10001,3349800,8
10001,3277800,5
10001,3268350,6
10001,3259800,3
10001,3257100,5
10001,3239552,4
10001,3231900,3
10001,3213450,4
10001,3195000,5
10001,3176100,10
10001,3138686,4
10001,3138686,4
10001,3133350,5
10001,3129750,5
10001,3128400,5
10001,3114000,6
10001,3112650,10
10001,3101850,8
10001,3061350,7
10001,3043800,5
10001,3030300,5
10001,3019950,11
10001,3005456,5
10001,2997450,5
10001,2968181,4
10001,2956500,4
10001,2953350,5
10001,2915100,9
10001,2910600,5
10001,2908350,6
10001,2905200,3
10001,2900250,5
10001,2871000,5
10001,2864250,8
10001,2855957,5
10001,2830050,7
10001,2828700,5
10001,2809800,5
10001,2803950,3
10001,2767498,4
10001,2757600,5
10001,2739150,5
10001,2718000,4
10001,2684250,4
10001,2673450,5
10001,2668500,4
10001,2656800,5
10001,2613600,5
10001,2609550,5
10001,2609100,6
10001,2571300,5
10001,2570400,4
10001,2559150,4
10001,2510550,3
10001,2497050,3
10001,2464650,10
10001,2462400,5
10001,2458350,3
10001,2434500,6
10001,2418300,6
10001,2398050,5
10001,2385450,6
10001,2376450,5
10001,2367900,5
10001,2346480,4
10001,2340450,11
10001,2332350,8
10001,2325600,4
10001,2325150,3
10001,2319098,11
10001,2317050,6
10001,2287800,10
10001,2267550,4
10001,2260350,10
10001,2254500,4
10001,2195100,9
10001,2131200,5
10001,2113200,4
10001,2105550,5
10001,2097000,10
10001,2088450,4
10001,2080800,4
10001,2079000,5
10001,2063700,5
10001,2022750,5
10001,2016450,6
10001,2000250,8
10001,1999350,3
